id,style,room,name ,type,price ,imageLink,purchaseLink
11,SCANDINAVIAN,BED ROOM,NESTTUN,BED,599,https://www.dropbox.com/scl/fi/kv0cnzil6vr43a69t28of/nesttun-bed.png?rlkey=pwmcjpj0qyiix65fbi7pf0kqv&st=waoq6he8&dl=1,https://www.ikea.com/my/en/p/nesttun-bed-frame-white-luroey-s99158020/
12,SCANDINAVIAN,BED ROOM,LEIRVIK,BED,599,https://www.dropbox.com/scl/fi/0oygihye5btnd4ehtzw8u/leirvik-bed.png?rlkey=gkxkowccf0518uxvaeyeoxbfo&st=ebufnohq&dl=1,https://www.ikea.com/my/en/p/leirvik-bed-frame-white-luroey-s19277282/
13,MODERN,LIVING ROOM,SÖDERHAMN,SOFA,1690,https://www.dropbox.com/scl/fi/yzv5q3djxkd2sznrj8ekm/2025-06-09-09-44-50.jpg?rlkey=lr8cqoo9ba3jqzv8uw4p5r8nr&st=1ky49gpj&dl=1,https://www.ikea.com/my/en/p/soederhamn-3-seat-section-gransel-natural-colour-s29442093/
14,MODERN,LIVING ROOM,LILLEHEM,SOFA,1750,https://www.dropbox.com/scl/fi/urkxl66fh5w4yqesl2jky/2025-06-09-09-53-05.jpg?rlkey=m3gijv3trjwhl2axclt0kx1i0&st=ulc8pnd8&dl=1,https://www.ikea.com/my/en/p/lillehem-modular-corner-sofa-2-seat-gunnared-dark-grey-metal-s59536306/
15,MODERN,LIVING ROOM,LINANÄS,SOFA,1495,https://www.dropbox.com/scl/fi/l873ei5fjlz02vu47ncgi/2025-06-09-10-23-56.jpg?rlkey=34ts9dc3ac9rvb2ulq3l4dhni&st=931ptcup&dl=1,https://www.ikea.com/my/en/p/linanaes-3-seat-sofa-with-chaise-longue-vissle-beige-50512239/
16,MODERN,LIVING ROOM,POÄNG,ARMCHAIR,309,https://www.dropbox.com/scl/fi/iseevjm28hjkzsx7c7fmg/2025-06-09-10-01-59.jpg?rlkey=u1iu76vm8q1g1f6ucmffybx24&st=163770ux&dl=1,https://www.ikea.com/my/en/p/poaeng-armchair-birch-veneer-knisa-light-beige-s19240788/
17,MODERN,LIVING ROOM,ÅRSUNDA,ARMCHAIR,199,https://www.dropbox.com/scl/fi/pb6tg20bxpw1ypz4cxdlt/2025-06-09-10-19-11.jpg?rlkey=mmy0sgrdftdii2ubj372ms1n6&st=li912ifm&dl=1,https://www.ikea.com/my/en/p/arsunda-armchair-knisa-light-grey-70535895/
18,MODERN,LIVING ROOM,EKENÄSET,ARMCHAIR,899,https://www.dropbox.com/scl/fi/ga9vpcy96ogg9atpg9qv8/2025-06-09-10-14-46.jpg?rlkey=bhqw9jaxmda8z7jm3et76a7qb&st=5ptstygm&dl=1,https://www.ikea.com/my/en/p/ekenaeset-armchair-kilanda-light-beige-70533491/
19,MODERN,LIVING ROOM,IDANÄS ,COFFEE TABLE,999,https://www.dropbox.com/scl/fi/r048p75o7222j718et5ub/2025-06-09-10-27-09.jpg?rlkey=h0i83o3j8tz2dvi3pz194rkr1&st=vzuoolaj&dl=1,https://www.ikea.com/my/en/p/idanaes-coffee-table-dark-brown-stained-90500003/
20,MODERN,LIVING ROOM,HEMNES ,COFFEE TABLE,599,https://www.dropbox.com/scl/fi/aqyxfvumw9rrchgj523gr/2025-06-09-10-35-38.jpg?rlkey=ystldbwtckqiahnxkpn2b3oq3&st=0phv937y&dl=1,https://www.ikea.com/my/en/p/hemnes-coffee-table-white-stain-light-brown-10413496/
21,MODERN,LIVING ROOM,HAVSTA,COFFEE TABLE,699,https://www.dropbox.com/scl/fi/92qd8yvs3h2pcwrn88hlf/2025-06-09-10-36-26.jpg?rlkey=imq6yi9cgc99s5i3qcu2dkbwe&st=hy7f7vee&dl=1,https://www.ikea.com/my/en/p/havsta-coffee-table-white-90404266/
22,MODERN,LIVING ROOM,MERETE,CURTAINS,120,https://www.dropbox.com/scl/fi/71vmwknrbioi8y9d59h6s/2025-06-09-10-49-20.jpg?rlkey=ifuyzs7ddhmb0enpbc389sf7a&st=dg7neru4&dl=1,https://www.ikea.com/my/en/p/merete-room-darkening-curtains-1-pair-white-with-eyelets-70172205/
