id,furniture_id,style,room,name,type,price,image_link,purchase_link
94,CPB014,SCANDINAVIAN,BEDROOM,KOLBJÖRN,wardrobe,395,https://www.ikea.com/my/en/images/products/kolbjoern-cabinet-in-outdoor-beige__0664606_pe718444_s5.jpg?f=xl,https://www.ikea.com/my/en/p/kolbjoern-cabinet-in-outdoor-beige-50409299/
95,TL005,SCANDINAVIAN,LIVING ROOM,ÅRSTID,table lamp,85,https://www.ikea.com/my/en/images/products/arstid-table-lamp-brass-white__0609329_pe684454_s5.jpg?f=xl,https://www.ikea.com/my/en/p/arstid-table-lamp-brass-white-60321376/
96,TL006,SCANDINAVIAN,LIVING ROOM,STORSEGEL,table lamp,45,https://www.ikea.com/my/en/images/products/storsegel-table-lamp-ash-white__1285773_pe933400_s5.jpg?f=xl,https://www.ikea.com/my/en/p/storsegel-table-lamp-ash-white-30573573/
97,TL007,MODERN,LIVING ROOM,BARLAST,table lamp,27,https://www.ikea.com/my/en/images/products/barlast-table-lamp-black-white__1032422_pe836908_s5.jpg?f=xl,https://www.ikea.com/my/en/p/barlast-table-lamp-black-white-80504563/
98,TL008,MODERN,LIVING ROOM,NYMÅNE,table lamp,119,https://www.ikea.com/my/en/images/products/nymane-table-lamp-white__1377230_pe960815_s5.jpg?f=xl,https://www.ikea.com/my/en/p/nymane-table-lamp-white-00594322/
99,TL009,MODERN,LIVING ROOM,LAMPAN,table lamp,55,https://www.ikea.com/my/en/images/products/lampan-table-lamp-white__0459937_pe606395_s5.jpg?f=xl,https://www.ikea.com/my/en/p/lampan-table-lamp-white-40055420/
100,TL010,MODERN,BEDROOM,FLYGHÖJD,table lamp,85,https://www.ikea.com/my/en/images/products/flyghoejd-table-lamp-brass-beige__1244488_pe921206_s5.jpg?f=xl,https://www.ikea.com/my/en/p/flyghoejd-table-lamp-brass-beige-90524457/
101,TL011,MODERN,BEDROOM,LAUTERS,table lamp,179,https://www.ikea.com/my/en/images/products/lauters-table-lamp-ash-white__0663864_pe712537_s5.jpg?f=xl,https://www.ikea.com/my/en/p/lauters-table-lamp-ash-white-70404903/
102,TL012,MODERN,BEDROOM,REMTÅNG,table lamp,75,https://www.ikea.com/my/en/images/products/remtang-table-lamp-grey-green__1256479_pe925081_s5.jpg?f=xl,https://www.ikea.com/my/en/p/remtang-table-lamp-grey-green-30566412/
103,TL013,MODERN,BEDROOM,UPPVIND,table lamp,159,https://www.ikea.com/my/en/images/products/uppvind-table-lamp-nickel-plated-white__0957668_pe805079_s5.jpg?f=xl,https://www.ikea.com/my/en/p/uppvind-table-lamp-nickel-plated-white-00437704/
